날짜,평균 풍속,최저 기온,최고 기온,강수량,평균 가격
2010-01-01,1.2,-11,0.9,0,2123
2010-01-02,0.9,-5.5,5.5,0.8,2123
2010-01-03,1.8,-6.9,1.4,0,2123
2010-01-04,2.3,-5.1,2.2,5.9,2020
2010-01-05,2.2,-8.7,-1.8,0.7,2060
2010-01-06,1.3,-11.4,-2.5,0.3,2060
2010-01-07,0.3,-11.2,-1.2,0,2140
2010-01-08,0.1,-11.4,1.4,0,2140
2010-01-09,0,-8.8,1.8,0.1,2140
2010-01-10,0.4,-5,2.8,0,2140
2010-01-11,1.6,-5.1,2.1,0,2140
2010-01-12,1.9,-8.2,-1.7,0.4,2140
2010-01-13,2.6,-11.4,-4.6,0.7,2140
2010-01-14,0.7,-12.7,0,0.1,2140
2010-01-15,0.8,-7.9,3.9,0.1,2140
2010-01-16,0.7,-9.9,2.9,0,2140
2010-01-17,0.3,-9.8,4.9,0,2140
2010-01-18,0.2,-7.1,7.7,0,2140
2010-01-19,0,-4.6,11,0.3,2140
2010-01-20,0,4.9,11.3,10.8,2175
2010-01-21,3.5,-3.6,7.9,3.1,2211
2010-01-22,2.8,-5.7,0.8,0,2211
2010-01-23,2,-6.6,2,0.1,2211
2010-01-24,1.8,-5.5,5.8,0,2211
2010-01-25,3.4,-4.3,5.4,0,2211
2010-01-26,1.3,-7.7,4.3,0,2178
2010-01-27,0.8,-5.9,7.4,6.5,2178
2010-01-28,3.7,-0.7,7.4,0.1,2311
2010-01-29,2.8,-4.3,5,0,2344
2010-01-30,1.2,-3.3,7.5,0,2344
2010-01-31,0.7,-1.3,9.4,0,2344
2010-02-01,1.5,-1,6.8,0.2,2380
2010-02-02,2.9,-5.5,1.8,0,2520
2010-02-03,2.7,-8.6,-0.3,0,2620
2010-02-04,2.6,-8.4,2.2,0.1,2720
2010-02-05,2.9,-5.9,3,0,2820
2010-02-06,1.2,-8.5,4.7,0,2820
2010-02-07,1.1,-8.3,8.6,0.1,2820
2010-02-08,0.5,2.8,7.3,2.7,2980
2010-02-09,0.5,3.6,7.8,6.9,3040
2010-02-10,2,4,6.5,9,3040
2010-02-11,4.1,0.7,5.2,17.3,3080
2010-02-12,1.8,-0.6,2.7,3.1,3180
2010-02-13,1.6,-3.3,2.2,1.9,3180
2010-02-14,0.7,-4.9,2.5,0,3180
2010-02-15,1.3,-4.4,5,0.1,3180
2010-02-16,1.3,-5,3.2,0.6,3180
2010-02-17,0.9,-6.1,3.6,0.4,3280
2010-02-18,2.3,-4.8,2.4,0.5,3300
2010-02-19,1.5,-6.1,5.4,0.1,3300
2010-02-20,1.2,-4.2,9.7,0,3300
2010-02-21,0.7,-3.4,11.6,0,3300
2010-02-22,0.8,-0.8,12.8,0,3260
2010-02-23,0.6,-1.2,16.4,0,3260
2010-02-24,0.9,1.2,18.9,0,3300
2010-02-25,0.5,10.3,16.4,33.4,3260
2010-02-26,2.4,6,13.5,4.1,3340
2010-02-27,1.8,3.8,9.2,1.5,3340
2010-02-28,1.1,3,12.6,0.1,3340
2010-03-01,3.7,3.4,8,15.6,3340
2010-03-02,1.8,1.8,6.9,0.3,3340
2010-03-03,1.5,-0.4,10.5,0,3760
2010-03-04,2.2,4.4,7.2,3.9,3860
2010-03-05,0.9,5,9.4,3.8,4140
2010-03-06,2.5,3.1,8.1,3.3,4140
2010-03-07,3.4,2.3,7,0.9,4140
2010-03-08,1.9,0.1,7.6,0.9,4200
2010-03-09,1.7,-0.8,5.8,5.7,4400
2010-03-10,3.2,-2.9,2.6,3.9,4400
2010-03-11,1.9,-2.8,8.4,0,4400
2010-03-12,2.6,1.7,14.5,0,4300
2010-03-13,2.5,1.6,12.5,0,4300
2010-03-14,1.6,1,12.9,1.1,4300
2010-03-15,2.8,4.5,14.4,16.5,4400
2010-03-16,4.5,-0.4,7.2,0,4300
2010-03-17,1.9,-2.7,7.3,1.1,4440
2010-03-18,2,-1.8,6.5,2.3,4440
2010-03-19,1.3,-3.5,13.9,0,4440
2010-03-20,3,5.1,18.5,1,4440
2010-03-21,4.4,1,9.3,0,4440
2010-03-22,0.8,0.4,8,2,4440
2010-03-23,1,3.3,11.4,2.4,4640
2010-03-24,1.3,3.9,13.1,0.1,4680
2010-03-25,1.6,1.4,8.5,4.6,4780
2010-03-26,3.5,-2,8,0,4880
2010-03-27,1,0.5,10,0.9,4880
2010-03-28,2.8,1.7,11.4,0,4880
2010-03-29,2.1,-1.3,12.9,0,5040
2010-03-30,1.3,1,13.6,0,5300
2010-03-31,1,6.3,10.9,18.8,5400
2010-04-01,1.7,5.1,11.6,15.8,5600
2010-04-02,3.5,1.3,12.7,0,5600
2010-04-03,2.6,0.8,12.4,0,5600
2010-04-04,1.2,-0.5,16.6,0,5600
2010-04-05,1.3,4.9,19,0,5700
2010-04-06,2.5,5.1,15.2,0.1,5800
2010-04-07,1.5,1.4,12.9,0.1,5900
2010-04-08,1.2,0,16.5,0,6000
2010-04-09,1.3,4.6,19.5,0,5900
2010-04-10,1.2,6.9,17.7,0.1,5900
2010-04-11,2.2,7.9,17,0.9,5900
2010-04-12,3,9.2,15.9,3.8,6000
2010-04-13,4.9,3,11.3,1.6,6200
2010-04-14,3.2,0.9,8.9,0.7,6200
2010-04-15,1.5,-0.2,12.5,0,6200
2010-04-16,1.7,0.2,14.4,0,6100
2010-04-17,1.9,0.8,16.5,0,6100
2010-04-18,1.4,3.8,16.3,0.2,6100
2010-04-19,1.5,10.1,18.4,5.5,6100
2010-04-20,1.5,10.2,22.5,0.2,5900
2010-04-21,3.5,8.7,16.6,8,5900
2010-04-22,3.1,7.9,12.3,13.9,5900
2010-04-23,1.5,6.2,14.5,2,5800
2010-04-24,1.9,4,17.6,0,5800
2010-04-25,1.1,3.8,20.9,0,5800
2010-04-26,1.7,9,17.5,23.7,5700
2010-04-27,3.3,5.6,14.7,4.2,5600
2010-04-28,2.1,3.2,10,7.8,5600
2010-04-29,4.1,5.2,15,0.5,5600
2010-04-30,2.5,5.7,16.8,0,5400
2010-05-01,2.2,4.3,19.9,0,5400
2010-05-02,1.7,7.3,25.1,0,5400
2010-05-03,2.6,13.7,25.8,0,5083
2010-05-04,1.9,15,27.1,0,5000
2010-05-05,1.6,14,25.7,0.4,5000
2010-05-06,3.1,11.6,23.6,5.2,4813
2010-05-07,3.6,9.9,23.9,0,4813
2010-05-08,2,9.3,24.8,0,4813
2010-05-09,1.2,11.6,25.3,0,4813
2010-05-10,1.9,12.4,22,0.1,4722
2010-05-11,2,8.5,20.3,0.8,4556
2010-05-12,2.2,7.9,20.4,0,4533
2010-05-13,1.2,8.2,21.2,0,4533
2010-05-14,1.3,8.7,23.1,0,4380
2010-05-15,1.7,9.8,22.5,0,4380
2010-05-16,1.6,10.2,26.5,0,4380
2010-05-17,1.6,11.5,26.9,5.8,3860
2010-05-18,1.1,16.4,19.7,51.4,3920
2010-05-19,2,15.1,24.6,2.4,4020
2010-05-20,1.8,13.9,28.2,0,4020
2010-05-21,1,13.8,30.2,0,4020
2010-05-22,1.9,14.7,22.6,24.2,4020
2010-05-23,2.9,14.3,17.5,26.8,4020
2010-05-24,2.2,13.5,17.3,4.8,4000
2010-05-25,1.4,12.9,18.4,1.9,3740
2010-05-26,2.4,11.9,21.4,0.2,3700
2010-05-27,1.4,10.2,22.4,0,3700
2010-05-28,1,11.3,20,0,3700
